#         t          x          y          z         vx         vy         vz
      0.000    -98.450   -120.030   -127.810    -27.700    174.120     92.490
      0.100   -100.833   -102.187   -118.082    -19.962    182.749    102.073
      0.200   -102.341    -83.466   -107.331    -10.200    191.668    112.949
      0.300   -102.737    -63.850    -95.416      2.289    200.640    125.355
      0.400   -101.698    -43.361    -82.172     18.496    209.139    139.516
      0.500    -98.784    -22.100    -67.421     39.764    216.084    155.501
      0.600    -93.412     -0.329    -51.002     67.686    219.342    172.875
      0.700    -84.861     21.395    -32.864    103.328    215.131    189.897
      0.800    -72.451     42.070    -13.247    144.880    198.367    202.445
      0.900    -55.977     60.323      7.115    184.608    166.693    204.785
      1.000    -36.151     74.988     27.066    211.900    126.609    194.230
      1.100    -14.358     85.729     45.605    223.964     88.222    176.554
      1.200      8.094     92.974     62.297    225.070     56.669    157.286
      1.300     30.355     97.421     77.125    220.146     32.284    139.285
      1.400     51.981     99.721     90.260    212.385     13.703    123.408
      1.500     72.776    100.379    101.913    203.506     -0.539    109.659
      1.600     92.669     99.772    112.285    194.365    -11.597     97.772
      1.700    111.656     98.177    121.545    185.374    -20.308     87.441
      1.800    129.761     95.798    129.837    176.716    -27.265     78.393
      1.900    147.020     92.791    137.277    168.463    -32.888     70.402
      2.000    163.474     89.272    143.961    160.630    -37.481     63.286
      2.100    179.166     85.335    149.971    153.206    -41.264     56.899
      2.200    194.135     81.052    155.372    146.166    -44.402     51.125
      2.300    208.417     76.481    160.222    139.482    -47.017     45.871
      2.400    222.047     71.669    164.568    133.124    -49.206     41.062
      2.500    235.057     66.657    168.453    127.064    -51.040     36.636
      2.600    247.474     61.476    171.912    121.273    -52.577     32.542
      2.700    259.324     56.154    174.976    115.729    -53.864     28.739
      2.800    270.631     50.714    177.673    110.408    -54.937     25.190
      2.900    281.416     45.176    180.025    105.291    -55.826     21.868
      3.000    291.698     39.557    182.056    100.360    -56.555     18.745
      3.100    301.496     33.872    183.784     95.598    -57.145     15.802
      3.200    310.825     28.134    185.225     90.990    -57.611     13.020
      3.300    319.701     22.355    186.395     86.524    -57.969     10.382
      3.400    328.137     16.545    187.308     82.187    -58.229      7.875
      3.500    336.144     10.714    187.976     77.969    -58.402      5.488
      3.600    343.736      4.869    188.411     73.859    -58.496      3.208
      3.700    350.921     -0.982    188.622     69.850    -58.519      1.028
      3.800    357.710     -6.832    188.621     65.932    -58.476     -1.062
      3.900    364.112    -12.674    188.414     62.098    -58.372     -3.069
      4.000    370.134    -18.503    188.011     58.342    -58.213     -4.998
      4.100    375.784    -24.314    187.418     54.656    -58.001     -6.857
      4.200    381.068    -30.101    186.643     51.035    -57.741     -8.650
      4.300    385.994    -35.860    185.691     47.474    -57.435    -10.382
      4.400    390.566    -41.586    184.569     43.967    -57.085    -12.057
      4.500    394.790    -47.275    183.282     40.510    -56.694    -13.680
      4.600    398.670    -52.923    181.836     37.098    -56.263    -15.253
      4.700    402.211    -58.525    180.234     33.728    -55.794    -16.780
      4.800    405.418    -64.079    178.482     30.394    -55.288    -18.264
      4.900    408.292    -69.581    176.583     27.093    -54.745    -19.707
      5.000    410.838    -75.027    174.542     23.821    -54.168    -21.112
      5.100    413.057    -80.413    172.363     20.576    -53.556    -22.481
      5.200    414.954    -85.736    170.048     17.354    -52.909    -23.817
      5.300    416.529    -90.993    167.601     14.151    -52.228    -25.120
      5.400    417.785    -96.180    165.025     10.964    -51.513    -26.393
      5.500    418.723   -101.294    162.324      7.791    -50.764    -27.638
      5.600    419.344   -106.331    159.499      4.628    -49.981    -28.855
      5.700    419.649   -111.288    156.554      1.473    -49.162    -30.046
